birth_year,number_of_subscribers,subscriber_trip_fraction,total_number_of_trips_by_subs
1985,1935170,0.041246166788000027,46917572
1986,1866590,0.039784454319162124,46917572
1984,1846663,0.0393597307209333,46917572
1988,1827755,0.038956726064170583,46917572
1987,1814123,0.038666173944380586,46917572
1983,1797165,0.038304731540668817,46917572
1989,1788156,0.038112713931573443,46917572
1990,1668289,0.0355578715795438,46917572
1982,1648508,0.035136259821799812,46917572
1981,1581928,0.033717175304809041,46917572
1980,1431926,0.030520036288322849,46917572
1991,1353118,0.028840324473738754,46917572
1979,1322542,0.028188628345899913,46917572
1978,1245728,0.026551416599307397,46917572
1977,1161110,0.024747870584607406,46917572
1976,1115599,0.023777850226350161,46917572
1992,1096764,0.023376401489829866,46917572
1970,1095022,0.023339272543771019,46917572
1974,1051733,0.022416611840015931,46917572
1969,1050629,0.02239308121059632,46917572
1975,1031674,0.021989074796965196,46917572
1971,983955,0.020971993179868729,46917572
1972,955266,0.020360516524597649,46917572
1973,954149,0.02033670881349103,46917572
1968,864464,0.018425164882786348,46917572
1993,842419,0.017955298283551416,46917572
1967,824550,0.017574438847773283,46917572
1965,768821,0.01638663228352908,46917572
1964,766463,0.016336373928301319,46917572
1966,758154,0.016159276102352439,46917572
1963,745738,0.01589464177728549,46917572
1962,707598,0.015081726735560826,46917572
1960,636144,0.013558757899918606,46917572
1961,595136,0.012684714375245165,46917572
1959,542931,0.011572018262155596,46917572
1994,540323,0.011516431412946945,46917572
1958,501036,0.010679069240837953,46917572
1957,447707,0.0095424162188103,46917572
1956,402561,0.0085801754617651563,46917572
1995,349178,0.0074423714850376313,46917572
1955,336615,0.0071746040055099183,46917572
1954,332833,0.0070939945485670062,46917572
1953,293800,0.006262046126342599,46917572
1996,242798,0.0051749907262890757,46917572
,233334,0.0049732752581484818,46917572
1952,203218,0.00433138355923448,46917572
1951,192870,0.0041108265363774578,46917572
1997,162304,0.003459343548297853,46917572
1950,137312,0.0029266646620161843,46917572
1998,120988,0.0025787353190399537,46917572
1949,109555,0.0023350526323058663,46917572
1948,108380,0.0023100087105956805,46917572
1947,89804,0.0019140802938395875,46917572
1999,68945,0.0014694920700500018,46917572
1946,64413,0.0013728971311644175,46917572
1945,44636,0.00095137062932412612,46917572
1942,40351,0.0008600402424916618,46917572
1944,38951,0.00083020067619867454,46917572
2000,33848,0.00072143545706073624,46917572
1941,30504,0.00065016152157234392,46917572
1943,25711,0.00054800363497070994,46917572
1940,19025,0.00040549839194577245,46917572
1900,12510,0.0002666378388037642,46917572
2001,10513,0.00022407382888441031,46917572
1938,9506,0.00020261065512938307,46917572
1939,6179,0.00013169905723169135,46917572
1936,3649,7.777469814507878e-05,46917572
1937,3482,7.421526416584387e-05,46917572
1935,3022,6.4410835241005226e-05,46917572
1934,2545,5.4244068725466017e-05,46917572
1885,2202,4.6933374983684152e-05,46917572
1932,2175,4.6357897633747968e-05,46917572
1901,1853,3.9494797386360911e-05,46917572
1899,1712,3.648952678113863e-05,46917572
1923,1456,3.1033148944706685e-05,46917572
1933,1403,2.9903508220757885e-05,46917572
1910,1063,2.2656756406746708e-05,46917572
1926,814,1.73495764017797e-05,46917572
1917,614,1.3086781217067242e-05,46917572
1921,575,1.2255536156048314e-05,46917572
1887,568,1.2106338324583378e-05,46917572
2002,542,1.1552174950570758e-05,46917572
1922,465,9.9109988044564618e-06,46917572
1912,426,9.0797537434375335e-06,46917572
1931,351,7.4812055491703622e-06,46917572
1929,323,6.8844142233106181e-06,46917572
1918,317,6.7565303677692442e-06,46917572
1930,299,6.3728788011451231e-06,46917572
1894,289,6.1597390419095e-06,46917572
1888,262,5.5842616919733189e-06,46917572
1927,200,4.2627951847124568e-06,46917572
1907,178,3.7938877143940866e-06,46917572
1913,177,3.7725737384705246e-06,46917572
1893,175,3.7299457866233997e-06,46917572
1886,155,3.3036662681521541e-06,46917572
1920,113,2.4084792793625384e-06,46917572
1924,89,1.8969438571970433e-06,46917572
1895,89,1.8969438571970433e-06,46917572
1928,66,1.4067224109551107e-06,46917572
1896,45,9.59128916560303e-07,46917572
1916,44,9.3781494063674053e-07,46917572
1919,42,8.95186988789616e-07,46917572
1925,31,6.6073325363043086e-07,46917572
1915,24,5.1153542216549484e-07,46917572
1890,18,3.8365156662412113e-07,46917572
1909,15,3.197096388534343e-07,46917572
1889,13,2.7708168700630973e-07,46917572
1903,3,6.3941927770686854e-08,46917572